Cuenta,Tipo de gasto,Gasto
601-0001-0000,Sueldos y Salarios Operativo,"4,068,444.97"
601-0002-0000,IVA Gastos de Operacion,"1,555,311.26"
601-0003-0000,Diesel,"9,031,604.74"
601-0004-0000,Maniobras y Pensiones,45
601-0005-0000,Refrendos Licencias y Permisos,"27,537.00"
601-0007-0000,Capacitacion Operadores,0
601-0010-0000,Radio celular en Unidades,"29,277.34"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"853,445.89"
601-0001-0000,Sueldos y Salarios Operativo,"4,012,933.75"
601-0002-0000,IVA Gastos de Operacion,"1,231,011.62"
601-0003-0000,Diesel,"7,326,049.43"
601-0004-0000,Maniobras y Pensiones,135
601-0005-0000,Refrendos Licencias y Permisos,"267,181.00"
601-0007-0000,Capacitacion Operadores,"5,250.00"
601-0010-0000,Radio celular en Unidades,"29,264.41"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"853,169.96"
601-0001-0000,Sueldos y Salarios Operativo,"4,285,908.81"
601-0002-0000,IVA Gastos de Operacion,"1,105,531.31"
601-0003-0000,Diesel,"6,149,748.95"
601-0004-0000,Maniobras y Pensiones,896
601-0005-0000,Refrendos Licencias y Permisos,"6,339.00"
601-0007-0000,Capacitacion Operadores,"6,000.00"
601-0010-0000,Radio celular en Unidades,"36,492.93"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"852,894.03"
601-0001-0000,Sueldos y Salarios Operativo,"4,070,009.64"
601-0002-0000,IVA Gastos de Operacion,"1,012,931.32"
601-0003-0000,Diesel,"6,090,955.58"
601-0004-0000,Maniobras y Pensiones,0
601-0005-0000,Refrendos Licencias y Permisos,"37,630.00"
601-0007-0000,Capacitacion Operadores,0
601-0010-0000,Radio celular en Unidades,"29,245.33"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"339,747.13"
601-0001-0000,Sueldos y Salarios Operativo,"4,388,693.53"
601-0002-0000,IVA Gastos de Operacion,"1,141,779.16"
601-0003-0000,Diesel,"6,389,911.87"
601-0004-0000,Maniobras y Pensiones,0
601-0005-0000,Refrendos Licencias y Permisos,"51,384.00"
601-0007-0000,Capacitacion Operadores,"7,500.00"
601-0010-0000,Radio celular en Unidades,"29,245.33"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"852,342.16"
601-0001-0000,Sueldos y Salarios Operativo,"6,695,636.90"
601-0002-0000,IVA Gastos de Operacion,"963,981.78"
601-0003-0000,Diesel,"-8,749,087.53"
601-0004-0000,Maniobras y Pensiones,0
601-0005-0000,Refrendos Licencias y Permisos,"25,440.00"
601-0007-0000,Capacitacion Operadores,750
601-0010-0000,Radio celular en Unidades,"29,379.08"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"852,066.23"
601-0001-0000,Sueldos y Salarios Operativo,"4,241,168.86"
601-0002-0000,IVA Gastos de Operacion,"1,051,852.08"
601-0003-0000,Diesel,"5,823,509.94"
601-0004-0000,Maniobras y Pensiones,448
601-0005-0000,Refrendos Licencias y Permisos,"124,935.00"
601-0007-0000,Capacitacion Operadores,"4,500.00"
601-0010-0000,Radio celular en Unidades,"29,381.76"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"851,790.30"
601-0001-0000,Sueldos y Salarios Operativo,"4,539,482.53"
601-0002-0000,IVA Gastos de Operacion,"880,225.00"
601-0003-0000,Diesel,"5,067,603.71"
601-0004-0000,Maniobras y Pensiones,0
601-0005-0000,Refrendos Licencias y Permisos,"25,539.00"
601-0007-0000,Capacitacion Operadores,"4,500.00"
601-0010-0000,Radio celular en Unidades,"29,245.33"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"851,514.37"
601-0001-0000,Sueldos y Salarios Operativo,"4,583,340.87"
601-0002-0000,IVA Gastos de Operacion,"1,414,752.12"
601-0003-0000,Diesel,"8,129,452.70"
601-0004-0000,Maniobras y Pensiones,962
601-0005-0000,Refrendos Licencias y Permisos,"33,375.00"
601-0007-0000,Capacitacion Operadores,"5,250.00"
601-0010-0000,Radio celular en Unidades,"29,245.33"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"851,238.43"
601-0001-0000,Sueldos y Salarios Operativo,"5,037,954.75"
601-0002-0000,IVA Gastos de Operacion,"1,472,949.76"
601-0003-0000,Diesel,"9,156,014.29"
601-0004-0000,Maniobras y Pensiones,962
601-0005-0000,Refrendos Licencias y Permisos,"19,938.00"
601-0007-0000,Capacitacion Operadores,"1,200.00"
601-0010-0000,Radio celular en Unidades,"29,249.33"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"850,962.50"
601-0001-0000,Sueldos y Salarios Operativo,"4,909,376.30"
601-0002-0000,IVA Gastos de Operacion,"1,463,791.81"
601-0003-0000,Diesel,"9,082,590.77"
601-0004-0000,Maniobras y Pensiones,0
601-0005-0000,Refrendos Licencias y Permisos,"5,500.00"
601-0007-0000,Capacitacion Operadores,"3,750.00"
601-0010-0000,Radio celular en Unidades,"29,245.33"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"850,686.56"
601-0001-0000,Sueldos y Salarios Operativo,"4,738,642.10"
601-0002-0000,IVA Gastos de Operacion,"1,558,657.74"
601-0003-0000,Diesel,"9,037,272.83"
601-0004-0000,Maniobras y Pensiones,0
601-0005-0000,Refrendos Licencias y Permisos,"14,925.00"
601-0007-0000,Capacitacion Operadores,"3,750.00"
601-0010-0000,Radio celular en Unidades,"29,245.33"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"850,410.63"
601-0001-0000,Sueldos y Salarios Operativo,"4,755,186.36"
601-0002-0000,IVA Gastos de Operacion,"1,108,870.52"
601-0003-0000,Diesel,"6,835,725.49"
601-0004-0000,Maniobras y Pensiones,0
601-0005-0000,Refrendos Licencias y Permisos,"6,000.00"
601-0007-0000,Capacitacion Operadores,0
601-0010-0000,Radio celular en Unidades,"29,246.33"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"850,134.69"
601-0001-0000,Sueldos y Salarios Operativo,"5,050,139.05"
601-0002-0000,IVA Gastos de Operacion,"1,419,139.13"
601-0003-0000,Diesel,"8,160,921.51"
601-0004-0000,Maniobras y Pensiones,"1,100.00"
601-0005-0000,Refrendos Licencias y Permisos,"7,168.00"
601-0007-0000,Capacitacion Operadores,"7,500.00"
601-0010-0000,Radio celular en Unidades,"16,056.22"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"849,858.76"
601-0001-0000,Sueldos y Salarios Operativo,"5,020,532.18"
601-0002-0000,IVA Gastos de Operacion,"1,360,022.33"
601-0003-0000,Diesel,"7,960,957.73"
601-0004-0000,Maniobras y Pensiones,"6,050.00"
601-0005-0000,Refrendos Licencias y Permisos,"72,234.00"
601-0007-0000,Capacitacion Operadores,"8,520.00"
601-0010-0000,Radio celular en Unidades,"42,628.02"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"849,582.83"
601-0001-0000,Sueldos y Salarios Operativo,"4,823,722.97"
601-0002-0000,IVA Gastos de Operacion,"1,375,221.14"
601-0003-0000,Diesel,"7,890,817.89"
601-0004-0000,Maniobras y Pensiones,"8,189.14"
601-0005-0000,Refrendos Licencias y Permisos,"7,540.00"
601-0007-0000,Capacitacion Operadores,0
601-0010-0000,Radio celular en Unidades,0
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"849,306.90"
601-0001-0000,Sueldos y Salarios Operativo,"4,985,724.60"
601-0002-0000,IVA Gastos de Operacion,"1,239,542.38"
601-0003-0000,Diesel,"6,968,176.85"
601-0004-0000,Maniobras y Pensiones,"4,549.01"
601-0005-0000,Refrendos Licencias y Permisos,"5,433.00"
601-0007-0000,Capacitacion Operadores,"4,500.00"
601-0010-0000,Radio celular en Unidades,0
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"1,064,548.20"
601-0001-0000,Sueldos y Salarios Operativo,"6,049,635.52"
601-0002-0000,IVA Gastos de Operacion,"1,103,688.07"
601-0003-0000,Diesel,"6,165,004.90"
601-0004-0000,Maniobras y Pensiones,0
601-0005-0000,Refrendos Licencias y Permisos,"6,000.00"
601-0007-0000,Capacitacion Operadores,"3,000.00"
601-0010-0000,Radio celular en Unidades,0
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"848,755.03"
601-0001-0000,Sueldos y Salarios Operativo,"5,124,229.31"
601-0002-0000,IVA Gastos de Operacion,"1,446,543.34"
601-0003-0000,Diesel,"8,333,891.97"
601-0005-0000,Refrendos Licencias y Permisos,"102,985.00"
601-0010-0000,Radio celular en Unidades,"42,671.11"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"848,479.10"
601-0001-0000,Sueldos y Salarios Operativo,"4,782,179.95"
601-0002-0000,IVA Gastos de Operacion,"738,003.83"
601-0003-0000,Diesel,"4,475,124.99"
601-0005-0000,Refrendos Licencias y Permisos,"12,253.00"
601-0007-0000,Capacitacion Operadores,"23,451.70"
601-0010-0000,Radio celular en Unidades,0
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"848,203.17"
601-0001-0000,Sueldos y Salarios Operativo,"4,989,885.69"
601-0002-0000,IVA Gastos de Operacion,"1,481,176.07"
601-0003-0000,Diesel,"8,591,979.67"
601-0005-0000,Refrendos Licencias y Permisos,"65,808.00"
601-0007-0000,Capacitacion Operadores,"13,500.00"
601-0010-0000,Radio celular en Unidades,0
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"847,927.23"
601-0001-0000,Sueldos y Salarios Operativo,"4,709,343.70"
601-0002-0000,IVA Gastos de Operacion,"1,009,442.13"
601-0003-0000,Diesel,"5,847,573.24"
601-0005-0000,Refrendos Licencias y Permisos,"7,261.00"
601-0007-0000,Capacitacion Operadores,"4,080.00"
601-0010-0000,Radio celular en Unidades,0
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"847,651.30"
601-0001-0000,Sueldos y Salarios Operativo,"5,264,677.38"
601-0002-0000,IVA Gastos de Operacion,"1,300,965.89"
601-0003-0000,Diesel,"7,851,409.32"
601-0005-0000,Refrendos Licencias y Permisos,"7,377.00"
601-0007-0000,Capacitacion Operadores,0
601-0010-0000,Radio celular en Unidades,0
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"847,375.37"
601-0001-0000,Sueldos y Salarios Operativo,"4,677,066.02"
601-0002-0000,IVA Gastos de Operacion,"1,046,221.07"
601-0003-0000,Diesel,"5,750,130.55"
601-0004-0000,Maniobras y Pensiones,"2,180.00"
601-0005-0000,Refrendos Licencias y Permisos,500
601-0007-0000,Capacitacion Operadores,0
601-0010-0000,Radio celular en Unidades,"85,342.66"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"847,099.44"
601-0001-0000,Sueldos y Salarios Operativo,"4,819,669.03"
601-0002-0000,IVA Gastos de Operacion,"1,092,812.74"
601-0003-0000,Diesel,"5,996,817.28"
601-0004-0000,Maniobras y Pensiones,0
601-0005-0000,Refrendos Licencias y Permisos,"7,000.00"
601-0007-0000,Capacitacion Operadores,"8,250.00"
601-0010-0000,Radio celular en Unidades,"-42,670.63"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"846,823.50"
601-0001-0000,Sueldos y Salarios Operativo,"4,845,172.64"
601-0002-0000,IVA Gastos de Operacion,"1,339,221.24"
601-0003-0000,Diesel,"6,816,376.38"
601-0004-0000,Maniobras y Pensiones,519
601-0005-0000,Refrendos Licencias y Permisos,"7,500.00"
601-0007-0000,Capacitacion Operadores,"4,500.00"
601-0010-0000,Radio celular en Unidades,"56,808.62"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"846,547.56"
601-0001-0000,Sueldos y Salarios Operativo,"5,146,147.89"
601-0002-0000,IVA Gastos de Operacion,"8,944,933.34"
601-0003-0000,Diesel,"8,296,306.02"
601-0004-0000,Maniobras y Pensiones,278
601-0005-0000,Refrendos Licencias y Permisos,"7,000.00"
601-0007-0000,Capacitacion Operadores,"2,250.00"
601-0010-0000,Radio celular en Unidades,0
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"846,271.63"
601-0001-0000,Sueldos y Salarios Operativo,"5,114,475.85"
601-0002-0000,IVA Gastos de Operacion,"1,268,443.31"
601-0003-0000,Diesel,"6,507,580.45"
601-0004-0000,Maniobras y Pensiones,0
601-0005-0000,Refrendos Licencias y Permisos,"70,170.00"
601-0007-0000,Capacitacion Operadores,"9,000.00"
601-0010-0000,Radio celular en Unidades,0
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"845,995.70"
601-0012-0000,Administracion de vehiculos y neumaticos ,"36,690.00"
601-0001-0000,Sueldos y Salarios Operativo,"5,155,580.83"
601-0002-0000,IVA Gastos de Operacion,"10,244,547.83"
601-0003-0000,Diesel,"7,055,604.55"
601-0004-0000,Maniobras y Pensiones,0
601-0005-0000,Refrendos Licencias y Permisos,"7,414.00"
601-0007-0000,Capacitacion Operadores,"10,500.00"
601-0010-0000,Radio celular en Unidades,0
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"845,719.77"
601-0012-0000,Administracion de vehiculos y neumaticos ,"18,345.00"
601-0001-0000,Sueldos y Salarios Operativo,"6,425,840.43"
601-0002-0000,IVA Gastos de Operacion,"1,103,445.33"
601-0003-0000,Diesel,"6,187,730.98"
601-0004-0000,Maniobras y Pensiones,0
601-0005-0000,Refrendos Licencias y Permisos,"37,872.00"
601-0007-0000,Capacitacion Operadores,"14,250.00"
601-0010-0000,Radio celular en Unidades,0
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"845,443.83"
601-0012-0000,Administracion de vehiculos y neumaticos ,"18,345.00"
601-0001-0000,Sueldos y Salarios Operativo,"5,565,700.07"
601-0002-0000,IVA Gastos de Operacion,"1,497,783.85"
601-0003-0000,Diesel,"8,687,077.66"
601-0005-0000,Refrendos Licencias y Permisos,"128,216.00"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"845,167.90"
601-0012-0000,Administracion de vehiculos y neumaticos ,"18,345.00"
601-0001-0000,Sueldos y Salarios Operativo,"5,294,299.61"
601-0002-0000,IVA Gastos de Operacion,"6,583,632.33"
601-0003-0000,Diesel,"7,713,078.74"
601-0005-0000,Refrendos Licencias y Permisos,"97,130.00"
601-0007-0000,Capacitacion Operadores,"4,500.00"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"844,891.97"
601-0012-0000,Administracion de vehiculos y neumaticos ,"18,345.00"
601-0001-0000,Sueldos y Salarios Operativo,"5,786,772.52"
601-0002-0000,IVA Gastos de Operacion,"1,115,161.53"
601-0003-0000,Diesel,"5,953,726.37"
601-0005-0000,Refrendos Licencias y Permisos,"7,315.00"
601-0007-0000,Capacitacion Operadores,"13,210.00"
601-0010-0000,Radio celular en Unidades,"44,223.17"
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"844,616.04"
601-0012-0000,Administracion de vehiculos y neumaticos ,"18,345.00"
601-0001-0000,Sueldos y Salarios Operativo,"5,394,616.59"
601-0002-0000,IVA Gastos de Operacion,"1,171,008.60"
601-0003-0000,Diesel,"6,603,733.16"
601-0005-0000,Refrendos Licencias y Permisos,"25,188.00"
601-0007-0000,Capacitacion Operadores,"15,000.00"
601-0010-0000,Radio celular en Unidades,0
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"844,340.10"
601-0012-0000,Administracion de vehiculos y neumaticos ,"18,345.00"
601-0001-0000,Sueldos y Salarios Operativo,"5,663,793.09"
601-0002-0000,IVA Gastos de Operacion,"1,436,808.35"
601-0003-0000,Diesel,"8,293,533.57"
601-0005-0000,Refrendos Licencias y Permisos,"6,000.00"
601-0007-0000,Capacitacion Operadores,"7,500.00"
601-0010-0000,Radio celular en Unidades,0
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"844,064.17"
601-0012-0000,Administracion de vehiculos y neumaticos ,"18,345.00"
601-0001-0000,Sueldos y Salarios Operativo,"5,698,188.45"
601-0002-0000,IVA Gastos de Operacion,"1,283,170.34"
601-0003-0000,Diesel,"7,316,483.52"
601-0005-0000,Refrendos Licencias y Permisos,"3,665.00"
601-0007-0000,Capacitacion Operadores,"3,750.00"
601-0010-0000,Radio celular en Unidades,0
601-0011-0000,Arrendamiento de Equipo para Unidades de Transporte,"843,788.24"
601-0012-0000,Administracion de vehiculos y neumaticos ,"18,345.00"
601-0001-0000,Sueldos y Salarios Operativo,"5,778,064.39"
601-0002-0000,IVA Gastos de Operacion,"1,442,158.07"
601-0003-0000,Diesel,"8,068,956.57"
601-0004-0000,Maniobras y Pensiones,"12,000.00"
601-0005-0000,Refrendos Licencias y Permisos,"13,243.00"
601-0007-0000,Capacitacion Operadores,0
601-0010-0000,Radio celular en Unidades,0
