Cuenta,Tipo de gasto,Gasto
603-0001-0000,Sueldos y Salarios Administrativos,"532,612.70"
603-0002-0000,IVA Gastos de Adminstracion,"519,458.30"
603-0003-0000,Impuestos,"1,824,161.67"
603-0004-0000,Depreciaciones y Amortizaciones,"4,534,621.42"
603-0005-0000,Gastos de Oficina,"288,162.76"
603-0006-0000,Cuotas y Suscripciones (Empresas),"300,000.00"
603-0007-0000,Propaganda y Publicidad,"102,498.00"
603-0008-0000,Honorarios,"338,975.57"
603-0009-0000,Gastos Departamentos Varios,"46,374.86"
603-0010-0000,Mantenimientos Generales,"82,312.49"
603-0011-0000,Eventos,"101,678.85"
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"1,636,036.03"
603-0014-0000,Gasolina,"24,938.30"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"140,030.00"
603-0017-0000,Uniformes,"1,474.00"
603-0018-0000,Convenio Laboral (ND),0
603-0019-0000,Comision por dispersion de vales de despensa,"5,624.69"
603-0020-0000,Siniestros (ND),"250,000.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,683,479.61"
603-0023-0000,Facilidades Administrativas,"202,521.00"
603-0025-0000,No Deducibles Departamento C 112,-0.12
603-0001-0000,Sueldos y Salarios Administrativos,"547,783.01"
603-0002-0000,IVA Gastos de Adminstracion,"435,280.44"
603-0003-0000,Impuestos,"1,829,524.09"
603-0004-0000,Depreciaciones y Amortizaciones,"4,548,673.86"
603-0005-0000,Gastos de Oficina,"309,882.75"
603-0006-0000,Cuotas y Suscripciones (Empresas),"3,847,481.75"
603-0007-0000,Propaganda y Publicidad,"60,350.00"
603-0008-0000,Honorarios,"109,359.59"
603-0009-0000,Gastos Departamentos Varios,"219,493.57"
603-0010-0000,Mantenimientos Generales,"50,815.98"
603-0011-0000,Eventos,0
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"37,530.71"
603-0014-0000,Gasolina,"57,606.25"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"140,030.00"
603-0017-0000,Uniformes,0
603-0018-0000,Convenio Laboral (ND),0
603-0019-0000,Comision por dispersion de vales de despensa,"5,805.37"
603-0020-0000,Siniestros (ND),0
603-0022-0000,Administracion de ruta transporte (Recaudo),"2,088,911.58"
603-0023-0000,Facilidades Administrativas,"202,966.30"
603-0025-0000,No Deducibles Departamento C 112,205.22
603-0001-0000,Sueldos y Salarios Administrativos,"551,164.92"
603-0002-0000,IVA Gastos de Adminstracion,"446,335.28"
603-0003-0000,Impuestos,"1,934,091.00"
603-0004-0000,Depreciaciones y Amortizaciones,"4,554,954.19"
603-0005-0000,Gastos de Oficina,"639,461.35"
603-0006-0000,Cuotas y Suscripciones (Empresas),"2,653,247.57"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"110,609.44"
603-0009-0000,Gastos Departamentos Varios,"137,839.82"
603-0010-0000,Mantenimientos Generales,"43,905.31"
603-0011-0000,Eventos,0
603-0012-0000,Seguros,"14,656.68"
603-0013-0000,No Deducibles,"113,265.77"
603-0014-0000,Gasolina,"73,845.06"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"109,900.00"
603-0017-0000,Uniformes,0
603-0018-0000,Convenio Laboral (ND),0
603-0019-0000,Comision por dispersion de vales de despensa,"5,851.73"
603-0020-0000,Siniestros (ND),"790,000.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,815,630.12"
603-0023-0000,Facilidades Administrativas,"151,531.00"
603-0025-0000,No Deducibles Departamento C 112,"10,512.92"
603-0001-0000,Sueldos y Salarios Administrativos,"540,146.04"
603-0002-0000,IVA Gastos de Adminstracion,"502,167.60"
603-0003-0000,Impuestos,"1,847,148.03"
603-0004-0000,Depreciaciones y Amortizaciones,"4,573,329.77"
603-0005-0000,Gastos de Oficina,"583,059.70"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,991,632.44"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"413,495.42"
603-0009-0000,Gastos Departamentos Varios,"171,511.96"
603-0010-0000,Mantenimientos Generales,"78,729.92"
603-0011-0000,Eventos,"5,568.00"
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"255,645.01"
603-0014-0000,Gasolina,"41,389.48"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"109,900.00"
603-0017-0000,Uniformes,"2,152.00"
603-0018-0000,Convenio Laboral (ND),0
603-0019-0000,Comision por dispersion de vales de despensa,"5,691.86"
603-0020-0000,Siniestros (ND),"397,000.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,931,660.46"
603-0023-0000,Facilidades Administrativas,"54,100.00"
603-0025-0000,No Deducibles Departamento C 112,144.86
603-0001-0000,Sueldos y Salarios Administrativos,"535,013.97"
603-0002-0000,IVA Gastos de Adminstracion,"896,616.23"
603-0003-0000,Impuestos,"1,789,479.81"
603-0004-0000,Depreciaciones y Amortizaciones,"4,574,550.63"
603-0005-0000,Gastos de Oficina,"372,820.86"
603-0006-0000,Cuotas y Suscripciones (Empresas),"2,642,607.61"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"205,532.76"
603-0009-0000,Gastos Departamentos Varios,"73,098.42"
603-0010-0000,Mantenimientos Generales,"75,017.93"
603-0011-0000,Eventos,0
603-0012-0000,Seguros,"1,179,164.36"
603-0013-0000,No Deducibles,"172,167.74"
603-0014-0000,Gasolina,"65,271.97"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"109,900.00"
603-0017-0000,Uniformes,0
603-0018-0000,Convenio Laboral (ND),"46,524.70"
603-0019-0000,Comision por dispersion de vales de despensa,"5,815.32"
603-0020-0000,Siniestros (ND),"1,054,045.22"
603-0022-0000,Administracion de ruta transporte (Recaudo),"2,380,693.92"
603-0023-0000,Facilidades Administrativas,"4,101.00"
603-0025-0000,No Deducibles Departamento C 112,"2,940.05"
603-0001-0000,Sueldos y Salarios Administrativos,"520,016.94"
603-0002-0000,IVA Gastos de Adminstracion,"536,592.43"
603-0003-0000,Impuestos,"1,377,806.88"
603-0004-0000,Depreciaciones y Amortizaciones,"4,591,509.53"
603-0005-0000,Gastos de Oficina,"329,345.55"
603-0006-0000,Cuotas y Suscripciones (Empresas),"2,341,241.14"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"64,848.42"
603-0009-0000,Gastos Departamentos Varios,"103,171.07"
603-0010-0000,Mantenimientos Generales,"128,451.49"
603-0011-0000,Eventos,"34,297.76"
603-0012-0000,Seguros,"49,942.56"
603-0013-0000,No Deducibles,"80,634.25"
603-0014-0000,Gasolina,"644,701.66"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"109,900.00"
603-0017-0000,Uniformes,"5,488.00"
603-0018-0000,Convenio Laboral (ND),0
603-0019-0000,Comision por dispersion de vales de despensa,"5,477.78"
603-0020-0000,Siniestros (ND),"770,000.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,869,663.84"
603-0023-0000,Facilidades Administrativas,"3,950.00"
603-0025-0000,No Deducibles Departamento C 112,"2,500.00"
603-0001-0000,Sueldos y Salarios Administrativos,"621,413.42"
603-0002-0000,IVA Gastos de Adminstracion,"506,383.18"
603-0003-0000,Impuestos,"2,321,681.46"
603-0004-0000,Depreciaciones y Amortizaciones,"4,855,428.77"
603-0005-0000,Gastos de Oficina,"411,866.92"
603-0006-0000,Cuotas y Suscripciones (Empresas),"357,320.00"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"46,467.01"
603-0009-0000,Gastos Departamentos Varios,"81,945.52"
603-0010-0000,Mantenimientos Generales,"310,699.40"
603-0011-0000,Eventos,"222,066.27"
603-0012-0000,Seguros,"91,657.75"
603-0013-0000,No Deducibles,"634,762.80"
603-0014-0000,Gasolina,"30,797.45"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"109,900.00"
603-0017-0000,Uniformes,0
603-0018-0000,Convenio Laboral (ND),0
603-0019-0000,Comision por dispersion de vales de despensa,"5,569.21"
603-0020-0000,Siniestros (ND),"400,000.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,884,442.80"
603-0023-0000,Facilidades Administrativas,"4,187.00"
603-0025-0000,No Deducibles Departamento C 112,"2,500.00"
603-0100-0000,PTU por Repartir,"53,250.00"
603-0001-0000,Sueldos y Salarios Administrativos,"566,149.12"
603-0002-0000,IVA Gastos de Adminstracion,"622,420.29"
603-0003-0000,Impuestos,"1,833,954.90"
603-0004-0000,Depreciaciones y Amortizaciones,"4,593,077.55"
603-0005-0000,Gastos de Oficina,"328,169.00"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"209,231.16"
603-0009-0000,Gastos Departamentos Varios,"31,178.28"
603-0010-0000,Mantenimientos Generales,"275,513.10"
603-0012-0000,Seguros,"884,516.69"
603-0013-0000,No Deducibles,"13,890.48"
603-0014-0000,Gasolina,"42,290.82"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"109,900.00"
603-0019-0000,Comision por dispersion de vales de despensa,"5,397.60"
603-0020-0000,Siniestros (ND),"735,500.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"2,057,053.05"
603-0023-0000,Facilidades Administrativas,"53,536.00"
603-0001-0000,Sueldos y Salarios Administrativos,"516,647.12"
603-0002-0000,IVA Gastos de Adminstracion,"441,004.21"
603-0003-0000,Impuestos,"1,942,400.46"
603-0004-0000,Depreciaciones y Amortizaciones,"4,593,914.30"
603-0005-0000,Gastos de Oficina,"318,800.44"
603-0006-0000,Cuotas y Suscripciones (Empresas),"15,000.00"
603-0007-0000,Propaganda y Publicidad,"60,450.00"
603-0008-0000,Honorarios,"98,921.08"
603-0009-0000,Gastos Departamentos Varios,"54,994.11"
603-0010-0000,Mantenimientos Generales,"331,040.18"
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"703,649.46"
603-0014-0000,Gasolina,"43,562.42"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"109,900.00"
603-0019-0000,Comision por dispersion de vales de despensa,"4,855.50"
603-0020-0000,Siniestros (ND),"153,600.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,858,846.33"
603-0023-0000,Facilidades Administrativas,"153,449.00"
603-0001-0000,Sueldos y Salarios Administrativos,"611,212.08"
603-0002-0000,IVA Gastos de Adminstracion,"426,427.75"
603-0003-0000,Impuestos,"2,015,405.40"
603-0004-0000,Depreciaciones y Amortizaciones,"4,598,709.00"
603-0005-0000,Gastos de Oficina,"391,758.99"
603-0006-0000,Cuotas y Suscripciones (Empresas),0
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"298,661.77"
603-0009-0000,Gastos Departamentos Varios,"117,615.93"
603-0010-0000,Mantenimientos Generales,"40,383.47"
603-0011-0000,Eventos,"31,372.41"
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"-241,980.61"
603-0014-0000,Gasolina,"35,501.31"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"109,900.00"
603-0019-0000,Comision por dispersion de vales de despensa,"5,440.93"
603-0020-0000,Siniestros (ND),"810,000.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,678,676.59"
603-0023-0000,Facilidades Administrativas,"103,733.00"
603-0001-0000,Sueldos y Salarios Administrativos,"1,238,518.93"
603-0002-0000,IVA Gastos de Adminstracion,"455,044.21"
603-0003-0000,Impuestos,"1,978,095.67"
603-0004-0000,Depreciaciones y Amortizaciones,"4,584,318.46"
603-0005-0000,Gastos de Oficina,"347,605.09"
603-0006-0000,Cuotas y Suscripciones (Empresas),0
603-0007-0000,Propaganda y Publicidad,"69,169.80"
603-0008-0000,Honorarios,"139,180.15"
603-0009-0000,Gastos Departamentos Varios,"19,080.00"
603-0010-0000,Mantenimientos Generales,"131,015.60"
603-0011-0000,Eventos,"68,636.13"
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"116,483.93"
603-0014-0000,Gasolina,"38,158.92"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"109,900.00"
603-0019-0000,Comision por dispersion de vales de despensa,"5,307.05"
603-0020-0000,Siniestros (ND),"686,000.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,986,049.36"
603-0023-0000,Facilidades Administrativas,"102,960.00"
603-0001-0000,Sueldos y Salarios Administrativos,"1,473,780.20"
603-0002-0000,IVA Gastos de Adminstracion,"407,542.15"
603-0003-0000,Impuestos,"2,112,850.27"
603-0004-0000,Depreciaciones y Amortizaciones,"4,584,478.63"
603-0005-0000,Gastos de Oficina,"372,602.84"
603-0006-0000,Cuotas y Suscripciones (Empresas),"12,992,416.45"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"941,313.37"
603-0009-0000,Gastos Departamentos Varios,"32,851.60"
603-0010-0000,Mantenimientos Generales,"57,463.17"
603-0011-0000,Eventos,"12,345.00"
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"266,212.35"
603-0014-0000,Gasolina,"50,256.00"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"109,900.00"
603-0019-0000,Comision por dispersion de vales de despensa,"5,522.40"
603-0020-0000,Siniestros (ND),"1,191,650.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,831,244.70"
603-0023-0000,Facilidades Administrativas,"103,210.00"
603-0001-0000,Sueldos y Salarios Administrativos,"1,288,792.09"
603-0002-0000,IVA Gastos de Adminstracion,"289,882.84"
603-0003-0000,Impuestos,"1,985,757.56"
603-0004-0000,Depreciaciones y Amortizaciones,"4,584,478.63"
603-0005-0000,Gastos de Oficina,"442,895.01"
603-0006-0000,Cuotas y Suscripciones (Empresas),"2,225,420.80"
603-0007-0000,Propaganda y Publicidad,"62,729.00"
603-0008-0000,Honorarios,"91,749.48"
603-0009-0000,Gastos Departamentos Varios,"3,300.00"
603-0010-0000,Mantenimientos Generales,"57,032.52"
603-0011-0000,Eventos,"22,751.72"
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"1,074,036.16"
603-0014-0000,Gasolina,"44,946.46"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"109,900.00"
603-0019-0000,Comision por dispersion de vales de despensa,"5,331.32"
603-0020-0000,Siniestros (ND),"250,000.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,025,668.06"
603-0023-0000,Facilidades Administrativas,"102,591.00"
603-0001-0000,Sueldos y Salarios Administrativos,"651,404.58"
603-0002-0000,IVA Gastos de Adminstracion,"547,587.93"
603-0003-0000,Impuestos,"2,151,497.91"
603-0004-0000,Depreciaciones y Amortizaciones,"4,586,376.26"
603-0005-0000,Gastos de Oficina,"339,765.16"
603-0006-0000,Cuotas y Suscripciones (Empresas),"2,632,434.32"
603-0007-0000,Propaganda y Publicidad,"175,039.90"
603-0008-0000,Honorarios,"914,335.22"
603-0009-0000,Gastos Departamentos Varios,"127,994.72"
603-0010-0000,Mantenimientos Generales,"202,156.74"
603-0011-0000,Eventos,"3,020.00"
603-0012-0000,Seguros,"6,277.91"
603-0013-0000,No Deducibles,"181,999.24"
603-0014-0000,Gasolina,"56,851.36"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"109,900.00"
603-0019-0000,Comision por dispersion de vales de despensa,"5,500.73"
603-0020-0000,Siniestros (ND),"890,700.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,473,021.73"
603-0023-0000,Facilidades Administrativas,"102,588.00"
603-0001-0000,Sueldos y Salarios Administrativos,"691,803.90"
603-0002-0000,IVA Gastos de Adminstracion,"609,621.52"
603-0003-0000,Impuestos,"2,553,630.96"
603-0004-0000,Depreciaciones y Amortizaciones,"4,591,768.69"
603-0005-0000,Gastos de Oficina,"595,382.89"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,969,561.95"
603-0007-0000,Propaganda y Publicidad,"108,802.04"
603-0008-0000,Honorarios,"751,937.93"
603-0009-0000,Gastos Departamentos Varios,"40,338.60"
603-0010-0000,Mantenimientos Generales,"388,753.58"
603-0011-0000,Eventos,"79,110.82"
603-0012-0000,Seguros,0
603-0013-0000,No Deducibles,"416,788.22"
603-0014-0000,Gasolina,"52,840.31"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"109,900.00"
603-0019-0000,Comision por dispersion de vales de despensa,"5,508.10"
603-0020-0000,Siniestros (ND),"547,000.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,768,353.75"
603-0023-0000,Facilidades Administrativas,"102,712.00"
603-0001-0000,Sueldos y Salarios Administrativos,"667,716.40"
603-0002-0000,IVA Gastos de Adminstracion,"482,432.10"
603-0003-0000,Impuestos,"2,193,935.92"
603-0004-0000,Depreciaciones y Amortizaciones,"4,592,040.54"
603-0005-0000,Gastos de Oficina,"354,384.92"
603-0006-0000,Cuotas y Suscripciones (Empresas),"2,782,161.37"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"378,443.34"
603-0009-0000,Gastos Departamentos Varios,"353,246.89"
603-0010-0000,Mantenimientos Generales,"160,039.23"
603-0011-0000,Eventos,"13,600.00"
603-0012-0000,Seguros,"7,746.12"
603-0013-0000,No Deducibles,"44,843.24"
603-0014-0000,Gasolina,"56,401.98"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"111,624.12"
603-0019-0000,Comision por dispersion de vales de despensa,"5,412.35"
603-0020-0000,Siniestros (ND),"1,120,000.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,858,803.06"
603-0023-0000,Facilidades Administrativas,"103,755.00"
603-0001-0000,Sueldos y Salarios Administrativos,"677,604.69"
603-0002-0000,IVA Gastos de Adminstracion,"744,018.76"
603-0003-0000,Impuestos,"1,828,471.00"
603-0004-0000,Depreciaciones y Amortizaciones,"4,591,999.01"
603-0005-0000,Gastos de Oficina,"403,210.33"
603-0006-0000,Cuotas y Suscripciones (Empresas),"2,366,209.89"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"146,098.14"
603-0009-0000,Gastos Departamentos Varios,"193,271.87"
603-0010-0000,Mantenimientos Generales,"190,560.92"
603-0011-0000,Eventos,"51,810.00"
603-0012-0000,Seguros,"1,250,133.28"
603-0013-0000,No Deducibles,"1,185,101.30"
603-0014-0000,Gasolina,"77,197.72"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"109,900.00"
603-0017-0000,Uniformes,"2,895.00"
603-0019-0000,Comision por dispersion de vales de despensa,"5,596.99"
603-0020-0000,Siniestros (ND),"1,174,400.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"2,383,987.38"
603-0023-0000,Facilidades Administrativas,"71,466.00"
603-0001-0000,Sueldos y Salarios Administrativos,"666,463.44"
603-0002-0000,IVA Gastos de Adminstracion,"598,466.41"
603-0003-0000,Impuestos,"2,014,824.43"
603-0004-0000,Depreciaciones y Amortizaciones,"4,592,393.73"
603-0005-0000,Gastos de Oficina,"340,482.46"
603-0006-0000,Cuotas y Suscripciones (Empresas),"1,885,745.21"
603-0007-0000,Propaganda y Publicidad,"60,000.00"
603-0008-0000,Honorarios,"350,660.27"
603-0009-0000,Gastos Departamentos Varios,"95,753.48"
603-0010-0000,Mantenimientos Generales,"403,794.76"
603-0011-0000,Eventos,"271,330.95"
603-0012-0000,Seguros,"8,475.68"
603-0013-0000,No Deducibles,"763,206.38"
603-0014-0000,Gasolina,"60,737.72"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"109,900.00"
603-0017-0000,Uniformes,"65,172.00"
603-0019-0000,Comision por dispersion de vales de despensa,"5,511.58"
603-0020-0000,Siniestros (ND),0
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,856,592.60"
603-0023-0000,Facilidades Administrativas,0
603-0001-0000,Sueldos y Salarios Administrativos,"845,913.81"
603-0002-0000,IVA Gastos de Adminstracion,"530,737.61"
603-0003-0000,Impuestos,"2,192,319.17"
603-0004-0000,Depreciaciones y Amortizaciones,"4,603,933.22"
603-0005-0000,Gastos de Oficina,"300,144.23"
603-0006-0000,Cuotas y Suscripciones (Empresas),"4,973,579.00"
603-0007-0000,Propaganda y Publicidad,"61,830.00"
603-0008-0000,Honorarios,"530,708.39"
603-0009-0000,Gastos Departamentos Varios,"158,418.39"
603-0010-0000,Mantenimientos Generales,"272,888.33"
603-0011-0000,Eventos,"30,100.00"
603-0012-0000,Seguros,"100,609.80"
603-0013-0000,No Deducibles,"181,289.99"
603-0014-0000,Gasolina,"57,230.91"
603-0016-0000,Monitoreo y Mantenimiento de Cámaras,"109,900.00"
603-0017-0000,Uniformes,0
603-0019-0000,Comision por dispersion de vales de despensa,"5,643.30"
603-0020-0000,Siniestros (ND),"1,025,000.00"
603-0022-0000,Administracion de ruta transporte (Recaudo),"1,885,114.81"
603-0023-0000,Facilidades Administrativas,0
603-0100-0000,PTU por Repartir,"4,844,737.00"
